Symbol,Name,Sector,Industry,Last Sale
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,312.9
VTR,,Real Estate,REIT - Healthcare Facilities,93.51
VRSN,"VeriSign, Inc.",Technology,Software - Infrastructure,290.02
VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services,194.85
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,46.81
VRTX,Vertex Pharmaceuticals Incorporated,Healthcare,Biotechnology,477.1
VTRS,Viatris Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,17.56
VICI,VICI Properties Inc.,Real Estate,REIT - Diversified,26.35
V,,Financial Services,Credit Services,366.13
VMC,Vulcan Materials Company,Basic Materials,Building Materials,268.57
WRB,,Financial Services,Insurance - Property & Casualty,72.54
GWW,,Industrials,Industrial Distribution,1382.22
WAB,,Industrials,Railroads,290.86
WBA,,,,
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,111.2
WBD,"Warner Bros. Discovery, Inc.",Communication Services,Entertainment,26.3
WM,"Waste Management, Inc.",Industrials,Waste Management,226.55
WAT,Waters Corporation,Healthcare,Diagnostics & Research,377.31
WEC,,Utilities,Utilities - Regulated Electric,109.42
WFC,Wells Fargo & Company,Financial Services,Banks - Diversified,86.45
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,234.44
WST,"West Pharmaceutical Services, Inc.",Healthcare,Medical Instruments & Supplies,340.96
WDC,,Technology,Computer Hardware,544.84
WY,Weyerhaeuser Company,Real Estate,REIT - Specialty,25.03
WHR,,Consumer Cyclical,"Furnishings, Fixtures & Appliances",37.5
WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Midstream,71.54
WTW,Willis Towers Watson Public Limited Company,Financial Services,Insurance Brokers,335.92
WYNN,"Wynn Resorts, Limited",Consumer Cyclical,Resorts & Casinos,99.31
XEL,Xcel Energy Inc.,Utilities,Utilities - Regulated Electric,78.2
XYL,Xylem Inc.,Industrials,Specialty Industrial Machinery,116.97
YUM,"Yum! Brands, Inc.",Consumer Cyclical,Restaurants,153.28
ZBRA,Zebra Technologies Corporation,Technology,Communication Equipment,293.82
ZBH,"Zimmer Biomet Holdings, Inc.",Healthcare,Medical Devices,93.93
ZION,"Zions Bancorporation, National Association",Financial Services,Banks - Regional,69.7
ZTS,,Healthcare,Drug Manufacturers - Specialty & Generic,77.29
